location,date,iso_code,continent,new_cases,total_cases,new_deaths,total_deaths,reproduction_rate,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_tests_per_thousand,positive_rate,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,stringency_index,confirmed_cases,rolling_7day,rolling_14day,Rt,growth_rate,doubling_time,cases_per_million,future_cases_14d,future_growth,outbreak_label,xgb_risk,xgb_risk_label,warning
Laos,2024-08-04,LAO,Asia,0.0,219060.0,0.0,671.0,0.54,78.21,69.36,138.75,0.11,1.5,7529477,29.72,24.4,6397.36,28.61,218023.0,0.0,0.0,1.0,0.0,38334.800000193565,29093.654180761827,0.0,0.0,0,0,Low,✅ Stable
Latvia,2024-08-04,LVA,Europe,0.0,977765.0,0.0,7475.0,0.84,72.74,70.57,3876.14,0.12,5.57,1850654,31.21,43.9,25063.85,0.0,976255.0,0.0,0.0,1.0,0.0,85553.73749929607,528334.8481131536,0.0,0.0,0,2,High,✅ Stable
Lebanon,2024-08-04,LBN,Asia,0.0,1239904.0,0.0,10947.0,1.42,49.92,43.98,846.0,,2.9,5489744,594.56,31.1,13367.56,16.67,1232828.0,0.0,0.0,1.0,0.0,641.2621301774717,225858.2549568796,0.0,0.0,0,2,High,✅ Stable
Lesotho,2024-08-04,LSO,Africa,0.0,36138.0,0.0,709.0,0.0,43.98,40.68,201.51,0.12,,2305826,73.56,22.2,2851.15,11.11,34790.0,0.0,0.0,1.0,0.0,8431.499999989443,15672.474852829313,0.0,0.0,0,0,Low,✅ Stable
Liberia,2024-08-04,LBR,Africa,0.0,7930.0,0.0,294.0,0.13,73.62,70.36,26.92,,0.8,5302690,49.13,19.2,752.79,33.16,8090.0,0.0,0.0,1.0,0.0,-35.39375000000002,1495.4673948505383,0.0,0.0,0,0,Low,✅ Stable
Libya,2024-08-04,LBY,Africa,0.0,507269.0,0.0,6437.0,0.01,34.0,18.15,,0.25,3.7,6812344,3.62,29.0,17881.51,13.89,507187.0,0.0,0.0,1.0,0.0,355087.5999988126,74463.20972634382,0.0,0.0,0,2,High,"⚠️ Low Vaccination, High Positivity Rate"
Liechtenstein,2024-08-04,LIE,Europe,0.0,21588.0,0.0,89.0,0.85,68.02,,2321.58,0.34,2.4,39355,237.01,,,11.11,21432.0,0.0,0.07142857142857142,1.0,0.0,15110.899999991756,548545.2928471605,0.0,0.0,0,2,High,✅ Stable
Lithuania,2024-08-14,LTU,Europe,0.0,0.0,0.0,0.0,1.01,71.21,68.4,3128.55,0.21,6.56,2750058,45.14,43.5,29524.26,11.11,1307448.0,0.0,57.642857142857146,1.0,0.0,-0.7,0.0,0.0,0.0,0,0,Low,✅ Stable
Luxembourg,2024-08-04,LUX,Europe,190.0,393542.0,0.0,1000.0,0.41,74.42,71.45,6725.73,0.38,4.51,647601,231.45,39.7,94277.96,11.11,317367.0,27.142857142857142,28.714285714285715,0.8962264150943396,0.0004830279240986002,1449.19157894712,607692.0820072853,27.142857142857142,0.5974842767295597,0,0,Low,✅ Stable
Macao,2023-04-13,MAC,Asia,0.0,0.0,0.0,0.0,,97.77,92.39,,,,695180,20546.77,39.2,104861.85,36.11,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,2,High,✅ Stable
Madagascar,2024-08-04,MDG,Africa,0.0,68567.0,0.0,1428.0,0.42,9.15,8.88,15.62,0.05,0.2,29611718,43.95,19.6,1416.44,0.0,67889.0,0.0,0.07142857142857142,1.0,0.0,47996.19999985144,2315.536032053257,0.0,0.0,0,0,Low,✅ Stable
Malawi,2024-08-04,MWI,Africa,0.0,89168.0,0.0,2686.0,0.02,26.63,21.01,29.63,0.07,1.3,20405318,197.52,18.1,1095.04,17.59,88707.0,0.0,0.0,1.0,0.0,10402.23333331636,4369.841234525235,0.0,0.0,0,0,Low,✅ Stable
Malaysia,2024-08-14,MYS,Asia,0.0,0.0,0.0,0.0,0.68,82.91,81.18,1806.39,0.06,1.9,33938216,96.25,29.9,26808.16,13.89,5044718.0,0.0,77.5,1.0,0.0,-0.7,0.0,0.0,0.0,0,2,High,✅ Stable
Maldives,2024-08-04,MDV,Asia,0.0,186694.0,0.0,316.0,0.13,76.23,73.53,4240.25,0.0,,523798,1454.43,30.6,15183.62,,185738.0,0.0,0.0,1.0,0.0,18668.699999978482,356423.65950232727,0.0,0.0,0,2,High,✅ Stable
Mali,2024-08-04,MLI,Africa,0.0,33166.0,0.0,743.0,0.2,19.27,16.08,32.33,0.0,0.1,22593598,15.2,16.4,2014.31,23.69,33062.0,0.0,0.0,1.0,0.0,11607.399999978825,1467.9379530431586,0.0,0.0,0,2,High,✅ Stable
Malta,2024-08-04,MLT,Europe,80.0,122796.0,1.0,922.0,1.36,89.81,88.43,3703.59,0.23,4.49,533293,1454.04,42.4,36513.32,11.11,117610.0,11.428571428571429,15.642857142857142,0.5755395683453237,0.0006519117311516442,1073.7649999999305,230259.91340595135,11.428571428571429,0.37209302325581395,0,0,Low,✅ Stable
Marshall Islands,2024-08-04,MHL,Oceania,0.0,16297.0,0.0,17.0,0.01,,,75.72,0.0,2.7,41593,295.15,,3819.2,,15649.0,0.0,3.2142857142857144,1.0,0.0,252.808888888888,391820.7390666699,0.0,0.0,0,2,High,✅ Stable
Martinique,2024-08-04,MTQ,North America,0.0,230354.0,0.0,1104.0,,,,,,,367512,,45.7,,,,0.0,0.0,1.0,0.0,424.75593667548554,626793.138727443,0.0,0.0,0,0,Low,✅ Stable
Mauritania,2024-08-04,MRT,Africa,0.0,63872.0,0.0,997.0,0.0,44.42,32.53,216.29,0.01,,4736146,4.29,20.3,3597.63,8.33,63668.0,0.0,0.0,1.0,0.0,14902.76666666867,13486.070741907028,0.0,0.0,0,0,Low,✅ Stable
Mauritius,2024-08-04,MUS,Africa,0.0,328167.0,0.0,1073.0,0.36,86.48,83.74,987.58,0.0,3.4,1299478,622.96,37.4,20292.74,5.56,296042.0,0.0,0.0,1.0,0.0,4253.316666668386,252537.55738842825,0.0,0.0,0,2,High,✅ Stable
Mayotte,2024-08-04,MYT,Africa,0.0,42027.0,0.0,187.0,,,,,,,326113,,20.1,,,,0.0,0.0,1.0,0.0,1547.6631578950953,128872.50738241037,0.0,0.0,0,0,Low,✅ Stable
Mexico,2024-08-04,MEX,North America,340.0,7619458.0,0.0,334551.0,0.63,76.22,64.19,122.88,0.49,1.38,127504120,66.44,29.3,17336.47,13.89,7483444.0,48.57142857142857,85.71428571428571,0.3953488372093023,4.4624587780317526e-05,15686.419411783285,59758.52388142438,48.57142857142857,0.3501544799176107,0,0,Low,✅ Stable
Micronesia (country),2024-08-04,FSM,Oceania,0.0,31765.0,0.0,65.0,0.01,,,,,,114178,150.78,23.0,3299.46,,,0.0,0.0,1.0,0.0,3.4914231856738924,278205.9591164673,0.0,0.0,0,0,Low,✅ Stable
Moldova,2024-08-04,MDA,Europe,743.0,637520.0,2.0,12245.0,0.99,33.9,32.97,,0.24,5.8,3272993,123.66,37.6,5189.97,5.56,611140.0,106.14285714285714,89.57142857142857,1.4540117416829745,0.001166813499859476,599.9244952893533,194781.96256453954,106.14285714285714,2.8358778625954195,0,2,High,"⚠️ Rising Rt, High Positivity Rate"
Monaco,2024-08-04,MCO,Europe,0.0,17181.0,0.0,67.0,0.73,79.13,70.34,,,13.8,36491,19347.5,,,13.31,16121.0,0.0,0.0,1.0,0.0,801.0799999999956,470828.42344687734,0.0,0.0,0,0,Low,✅ Stable
Mongolia,2024-08-04,MNG,Asia,0.0,1011489.0,0.0,2136.0,0.21,66.88,64.02,2213.04,0.24,7.0,3398373,1.98,28.6,11840.85,11.11,1007900.0,0.0,0.0,1.0,0.0,141607.75999704903,297639.19381421636,0.0,0.0,0,2,High,✅ Stable
Montenegro,2024-08-04,MNE,Europe,0.0,251280.0,0.0,2654.0,1.16,46.69,45.43,,,3.86,627082,46.28,39.1,16409.29,,288808.0,0.0,0.0,1.0,0.0,9256.984210517596,400713.1443734631,0.0,0.0,0,0,Low,✅ Stable
Montserrat,2024-08-04,MSR,North America,0.0,1403.0,0.0,8.0,,47.68,44.23,,,,4413,,,,,,0.0,0.0,1.0,0.0,88.58181818181713,317924.31452526624,0.0,0.0,0,0,Low,✅ Stable
Morocco,2024-08-04,MAR,Africa,0.0,1279115.0,0.0,16305.0,0.75,66.8,62.8,316.61,0.11,1.1,37457976,80.08,29.6,7485.01,24.46,1272490.0,0.0,0.0,1.0,0.0,89537.35000106978,34148.00094911695,0.0,0.0,0,2,High,✅ Stable
Mozambique,2024-08-04,MOZ,Africa,0.0,233843.0,0.0,2252.0,0.23,69.37,64.7,41.83,0.1,0.7,32969520,37.73,17.7,1136.1,12.04,233214.0,0.0,0.07142857142857142,1.0,0.0,163689.4000036251,7092.702593183037,0.0,0.0,0,0,Low,✅ Stable
